日付,商品名,カテゴリ,単価,数量,売上金額,担当者
2024/01/02,ウェブカメラ,PC周辺機器,6500,18,117000,鈴木
2024/01/04,除菌シート,消耗品,380,7,2660,渡辺
2024/01/09,USBハブ,PC周辺機器,2800,8,22400,鈴木
2024/01/09,ノート(5冊),文房具,850,13,11050,伊藤
2024/01/11,除菌シート,消耗品,380,10,3800,渡辺
2024/01/11,デスクマット,オフィス用品,3200,4,12800,高橋
2024/01/12,ノート(5冊),文房具,850,4,3400,鈴木
2024/01/14,除菌シート,消耗品,380,3,1140,伊藤
2024/01/14,ファイルキャビネット,オフィス用品,15800,17,268600,伊藤
2024/01/17,コピー用紙(500枚),消耗品,1800,18,32400,佐藤
2024/01/20,デスクライト,オフィス用品,5200,11,57200,田中
2024/01/20,ヘッドセット,PC周辺機器,4800,14,67200,伊藤
2024/01/21,マーカーセット,文房具,680,11,7480,鈴木
2024/01/22,除菌シート,消耗品,380,8,3040,佐藤
2024/01/26,キーボード,PC周辺機器,7200,12,86400,佐藤
2024/01/28,デスクマット,オフィス用品,3200,17,54400,伊藤
2024/01/28,ゴミ袋(50枚),消耗品,450,11,4950,佐藤
2024/01/28,除菌シート,消耗品,380,7,2660,渡辺
2024/01/31,ゴミ袋(50枚),消耗品,450,3,1350,田中
2024/02/01,除菌シート,消耗品,380,18,6840,鈴木
2024/02/03,トナーカートリッジ,消耗品,9500,6,57000,伊藤
2024/02/03,トナーカートリッジ,消耗品,9500,20,190000,高橋
2024/02/04,モニターアーム,PC周辺機器,8900,20,178000,渡辺
2024/02/05,デスクマット,オフィス用品,3200,8,25600,佐藤
2024/02/05,クリアファイル(20枚),文房具,560,12,6720,佐藤
2024/02/09,ノート(5冊),文房具,850,12,10200,高橋
2024/02/10,ノート(5冊),文房具,850,9,7650,田中
2024/02/11,USBハブ,PC周辺機器,2800,8,22400,田中
2024/02/11,コピー用紙(500枚),消耗品,1800,1,1800,田中
2024/02/14,電池(単3 8本),消耗品,680,9,6120,田中
2024/02/16,デスクマット,オフィス用品,3200,5,16000,伊藤
2024/02/16,ファイルキャビネット,オフィス用品,15800,8,126400,田中
2024/02/17,ボールペン(10本),文房具,1200,7,8400,渡辺
2024/02/24,USBハブ,PC周辺機器,2800,1,2800,田中
2024/02/25,ヘッドセット,PC周辺機器,4800,15,72000,田中
2024/02/27,ゴミ袋(50枚),消耗品,450,9,4050,田中
2024/02/28,除菌シート,消耗品,380,4,1520,高橋
2024/02/28,キーボード,PC周辺機器,7200,9,64800,佐藤
2024/02/29,ノート(5冊),文房具,850,9,7650,渡辺
2024/02/29,トナーカートリッジ,消耗品,9500,9,85500,伊藤
2024/03/03,モニターアーム,PC周辺機器,8900,18,160200,佐藤
2024/03/04,モニターアーム,PC周辺機器,8900,2,17800,田中
2024/03/10,トナーカートリッジ,消耗品,9500,1,9500,伊藤
2024/03/15,マーカーセット,文房具,680,19,12920,高橋
2024/03/20,ボールペン(10本),文房具,1200,19,22800,佐藤
2024/03/22,ウェブカメラ,PC周辺機器,6500,1,6500,渡辺
2024/03/23,付箋セット,文房具,480,4,1920,鈴木
2024/03/24,除菌シート,消耗品,380,14,5320,佐藤
2024/03/24,コピー用紙(500枚),消耗品,1800,13,23400,渡辺
2024/03/29,除菌シート,消耗品,380,8,3040,渡辺
